ts_iso,symbol,last,high,low,volume,bid,ask,delta5s,trades5s,spread_avg,spread_max,vwap_session,vwap_rolling,vwap_active,cumulative_delta,vwap_s_std,vwap_s_up1,vwap_s_dn1,vwap_s_up2,vwap_s_dn2,vwap_r_std,vwap_r_up1,vwap_r_dn1,vwap_r_up2,vwap_r_dn2,spread_now,mid,pos_in_spread,range_1m,range_5m,pos_in_session
2025-08-27T21:23:30.0000000,ES SEP25,6487.5,6487.5,6487.5,2,6487.5,6487.5,3,2,0,0,6484.72820793506,6487.12337245551,6484.72820793506,139753,2.55954294724956,6487.28775088231,6482.16866498781,6489.84729382956,6479.60912204056,0.744967524345513,6487.86833997986,6486.37840493117,6488.6133075042,6485.63343740682,0,6487.5,0.5,0.5,1.25,0.844444444444444
2025-08-27T21:23:45.0000000,ES SEP25,6487.75,6487.75,6487.75,15,6487.75,6487.75,30,22,0,0,6484.72885639757,6487.12520578012,6484.72885639757,139783,2.55965101514356,6487.28850741271,6482.16920538242,6489.84815842785,6479.60955436728,0.744686737316284,6487.86989251743,6486.3805190428,6488.61457925475,6485.63583230548,0,6487.75,0.5,0.5,1.25,0.866666666666667
2025-08-27T21:23:55.0000000,ES SEP25,6488,6488,6488,1,6488,6488,17,13,0,0,6484.72890319504,6487.13951867681,6484.72890319504,139800,2.55966260729806,6487.28856580234,6482.16924058774,6489.84822840964,6479.60957798045,0.742276422293397,6487.8817950991,6486.39724225451,6488.62407152139,6485.65496583222,0,6488,0.5,0.5,1.25,0.888888888888889
2025-08-27T21:24:05.0000000,ES SEP25,6487.75,6488,6487.75,35,6487.75,6487.75,63,49,0,0,6484.73045685279,6487.14424024133,6484.73045685279,139863,2.55996376806376,6487.29042062086,6482.17049308473,6489.85038438892,6479.61052931667,0.741993622804816,6487.88623386414,6486.40224661853,6488.62822748694,6485.66025299572,0,6487.75,0.5,0.5,1.25,0.866666666666667
2025-08-27T21:24:10.0000000,ES SEP25,6487.75,6487.75,6487.75,10,6487.75,6487.75,12,10,0,0,6484.7308885553,6487.14762565524,6484.7308885553,139875,2.56003533585057,6487.29092389115,6482.17085321945,6489.850959227,6479.61081788359,0.742077979991851,6487.88970363523,6486.40554767525,6488.63178161522,6485.66346969526,0,6487.75,0.5,0.5,1.25,0.866666666666667
2025-08-27T21:24:15.0000000,ES SEP25,6487.5,6488,6487.5,19,6487.5,6487.5,43,37,0,0,6484.73168581938,6487.15006768812,6484.73168581938,139918,2.56014473475689,6487.29183055413,6482.17154108462,6489.85197528889,6479.61139634986,0.74168717937731,6487.8917548675,6486.40838050875,6488.63344204688,6485.66669332937,0,6487.5,0.5,0.5,1.25,0.844444444444444
2025-08-27T21:24:20.0000000,ES SEP25,6487.5,6487.5,6487.5,16,6487.5,6487.5,29,21,0,0,6484.73231875774,6487.15495587235,6484.73231875774,139947,2.56019418616733,6487.29251294391,6482.17212457158,6489.85270713008,6479.61193038541,0.741326243964723,6487.89628211632,6486.41362962839,6488.63760836028,6485.67230338442,0,6487.5,0.5,0.5,1.25,0.844444444444444
2025-08-27T21:24:25.0000000,ES SEP25,6487.5,6487.5,6487.5,14,6487.5,6487.5,26,20,0,0,6484.73287234144,6487.15848822799,6484.73287234144,139973,2.56023731149921,6487.29310965294,6482.17263502994,6489.85334696444,6479.61239771844,0.742253476272221,6487.90074170426,6486.41623475171,6488.64299518053,6485.67398127544,0,6487.5,0.5,0.5,1,0.844444444444444
2025-08-27T21:24:30.0000000,ES SEP25,6487.5,6487.5,6487.5,1,6487.5,6487.5,9,6,0,0,6484.73291187466,6487.1593885785,6484.73291187466,139982,2.56024038457699,6487.29315225924,6482.17267149008,6489.85339264381,6479.61243110551,0.742728272237731,6487.90211685074,6486.41666030627,6488.64484512298,6485.67393203403,0,6487.5,0.5,0.5,1,0.844444444444444
2025-08-27T21:24:40.0000000,ES SEP25,6487.25,6487.5,6487.25,16,6487.25,6487.25,37,28,0,0,6484.73350616332,6487.16067548269,6484.73350616332,140019,2.5602495717771,6487.2937557351,6482.17325659154,6489.85400530687,6479.61300701977,0.742731447158906,6487.90340692985,6486.41794403553,6488.64613837701,6485.67521258837,0,6487.25,0.5,0.75,1,0.822222222222222
